,hr,designer,information-technology,teacher,advocate,business-development,healthcare,fitness,agriculture,bpo,sales,consultant,digital-media,automobile,chef,finance,apparel,engineering,accountant,construction,public-relations,banking,arts,aviation
seoul,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
hyderabad,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,1
rethinking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
developertechnical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handbags,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
illustrates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
grovesite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optitex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lgbta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bullseyecrowd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realityto,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handoff,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
swat,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
td,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0
intermittently,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
divisionally,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milestone,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
brandcategory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grids,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shaun,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boys,0,2,0,14,0,0,1,1,0,0,0,2,0,0,2,0,6,5,0,1,3,3,1,2
bottoms,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
outerwear,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
tees,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
abercrombie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onbody,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nests,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xp,0,1,47,3,6,2,1,2,2,8,5,27,5,2,1,4,0,12,5,3,1,10,0,7
vista,0,2,21,0,3,1,4,2,0,4,4,9,9,0,2,4,0,9,0,2,3,3,3,4
nt9598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daz,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analog,0,1,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,4
illustrative,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
illustrators,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
copywriters,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
stylists,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,3,0,0,0
expediting,0,1,0,0,1,0,1,2,0,0,0,0,1,1,3,0,1,1,0,3,0,1,1,6
optimizes,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
inspecting,0,4,1,0,1,2,1,7,2,0,5,3,0,0,3,2,1,7,0,7,5,0,0,16
loading,0,1,1,0,2,0,1,7,2,0,3,0,1,2,3,1,4,5,0,17,2,2,0,18
companyrelated,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
performancemonitoring,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labeled,0,1,0,0,1,0,2,1,0,0,1,2,0,0,14,0,4,1,0,0,0,1,0,1
reversedistribution,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cartons,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0
authenticity,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
damages,0,1,3,0,1,0,0,2,0,0,0,2,0,4,0,2,2,3,2,5,0,1,3,7
unpacking,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
logging,0,2,13,0,3,0,0,1,2,3,0,2,0,0,1,3,0,2,0,4,1,2,3,2
tracing,0,1,0,1,0,2,1,0,2,0,1,0,0,0,1,1,0,3,0,2,0,1,0,1
itinerary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
dollies,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
pallet,0,2,1,0,1,0,0,5,0,0,6,0,0,0,0,0,8,4,3,8,2,0,0,4
jacks,0,2,1,1,0,0,0,2,0,0,4,0,0,1,1,0,5,1,0,4,1,0,1,3
forklifts,0,3,0,1,0,0,0,1,0,0,3,0,2,0,1,0,3,3,0,7,0,1,1,6
unload,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,2
requisitioning,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
uncluttered,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweepers,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
shelved,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openclose,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
responsibly,0,2,0,0,4,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,0
wares,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
shelving,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
visible,0,1,2,0,0,2,0,0,5,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2
mentoringcoaching,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
stocking,0,1,1,1,6,3,2,3,5,0,12,3,1,0,7,0,5,0,0,15,1,0,2,4
queens,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,2,0
cartooning,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9598,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
exceptionally,0,3,0,0,3,1,2,1,0,1,3,1,0,0,0,2,0,0,1,0,0,2,0,1
designerartist,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2c,0,1,1,0,0,3,0,0,0,1,0,2,10,0,0,0,0,3,0,0,3,0,0,0
creativeness,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ibooks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
softskill,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handouts,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,2,0,1,1
speculative,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps,0,1,2,2,2,1,1,0,0,1,0,2,9,0,0,0,1,1,1,1,0,3,3,0
verbalwritten,0,1,0,1,0,0,0,1,1,0,3,0,1,0,2,0,0,2,0,1,0,0,6,0
springboard,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
livemeeting,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
webcast,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
publishers,0,1,0,0,0,1,0,0,0,0,2,0,10,0,1,0,0,0,0,0,0,0,1,2
pub,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
contents,0,1,1,3,0,0,1,2,0,0,7,0,2,1,8,3,6,7,0,3,3,1,4,6
pharmasponsored,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supplements,0,2,2,0,0,0,2,2,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1
mechanicals,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appear,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1
inserts,0,2,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,2,1,0,0,0,0,0
barbie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
walt,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,5,0,0,0
disney,0,3,0,0,0,1,0,2,0,0,0,3,22,0,3,1,1,2,3,3,11,2,1,0
sesame,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nascar,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
stylesheets,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readers,0,1,3,5,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0,4,0,5,0
digest,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1
promobrochures,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sequential,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supervisingadvising,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anywhere,0,1,12,4,4,0,3,2,0,1,4,7,0,2,1,0,0,1,0,0,2,2,0,2
fourcolor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordmark,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
performances,0,4,0,6,1,1,0,1,1,1,1,0,1,0,1,2,1,1,1,0,2,1,19,1
200607,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200102,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homecoming,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tents,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
etal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chaplain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lgbtqi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
margaret,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
cuninggim,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sometimes,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,2
specially,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ace,0,1,0,0,2,1,1,12,0,0,0,2,2,0,0,1,0,1,1,0,1,0,1,0
orchestrate,0,2,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,2
marketingpr,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
sarratt,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lens,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
011988,0,2,0,0,1,1,0,0,0,0,0,2,0,0,1,1,1,0,0,2,3,2,0,0
011992,0,1,0,1,0,1,0,0,0,1,3,2,0,0,2,0,0,1,1,1,0,0,1,0
bulk,0,3,2,0,0,1,0,2,2,0,2,0,2,0,0,1,6,2,0,0,0,2,5,2
custodial,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0
011977,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
paradox,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
quarkexpress,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distilling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elegant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
httpwwwkropcommikalali,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
styleguide,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
provisioning,0,2,7,0,0,0,1,0,1,7,0,8,3,0,2,0,0,3,0,0,0,0,1,6
diligents,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singular,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cunsumtion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
locking,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0
resetting,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
enviorment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dev,0,1,6,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
click,0,2,0,0,1,0,0,1,0,0,0,2,8,0,0,0,1,0,0,1,0,1,0,0
comps,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
styleguides,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ios,0,1,21,0,0,0,1,2,0,7,1,7,12,1,0,0,0,10,1,0,1,13,3,1
initialed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lpl,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antiquated,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
brokerage,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,10,0,0
connects,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
scc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gmpp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generally,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,7,0,0,11,2,3,0,0,1
compared,0,1,1,3,0,2,0,0,3,0,0,2,2,0,2,4,0,3,4,1,4,5,0,2
sitewide,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allys,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qps,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcd,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
reinsurance,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,3,0,0,2,0,0
oss,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,5,0,0,0
bdg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ally,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
identifiers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fi,0,1,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,2,0,0,0,0,0
vsc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
quote,0,1,2,0,5,1,0,2,0,0,5,1,7,1,0,0,2,2,0,1,0,0,0,1
dealers,0,2,3,0,2,7,0,2,0,0,8,5,3,2,1,4,0,0,2,0,1,0,1,2
iconography,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truncate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brd,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
condensed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brds,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0
ownerexcecutive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coders,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
logobrand,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolstered,0,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
designerconsultant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multimediainteractive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flyinthesoup,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restaurateurs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pencilpad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sauces,0,1,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0
dba,0,1,13,0,0,2,0,0,0,0,0,11,0,0,0,0,1,0,5,0,0,7,0,1
sidestreet,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greetings,0,2,0,0,4,2,0,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0
biz,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hallmark,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
valentines,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
branded,0,2,0,0,1,1,1,0,0,0,0,7,7,0,3,0,2,0,0,0,6,0,1,0
sistersista,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interart,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humor,0,1,1,0,1,0,0,3,0,0,1,1,1,0,2,0,2,0,1,1,4,0,1,1
subsequently,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0
milar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balloon,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scratcher,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sonics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blockbuster,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
einstein,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lottery,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
httpwwwaigaorg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aiga,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charlotte,0,1,0,0,0,1,5,3,1,1,4,2,0,1,2,3,3,0,0,2,6,5,4,0
grandprizecentral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
punch,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1,20,0,0,0,0
internets,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyper,0,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0
prizes,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
hostpaks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pencil,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
imagephoto,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resizing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud,0,1,52,1,13,9,8,0,4,1,2,24,28,0,3,2,0,8,0,2,5,18,3,1
tumblr,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,1,0
1011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
influential,0,1,1,0,0,3,0,0,0,0,1,0,1,0,1,2,1,1,0,0,2,2,0,0
originality,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
curiosity,0,1,1,1,1,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0
grit,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
wyndesigns,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proudly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
gia,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
gemologist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollins,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacrosse,0,3,0,0,0,2,0,3,0,0,0,2,2,0,0,0,0,6,0,0,1,0,3,0
wwwlgoodwyncom,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwwblurbcomebooks574209envisionart,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visions,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,2
avenue,0,2,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0
boutique,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,2,0,3,1,0,0
philanthropist,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ann,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
ziff,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
producers,0,1,0,0,2,1,0,0,2,1,1,5,10,0,2,0,2,0,1,0,7,1,1,0
placementlayout,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boutiques,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
instagram,0,1,0,0,0,4,0,7,0,0,1,1,32,0,2,0,5,0,0,0,22,0,1,0
yext,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohosting,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caterer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
rsvp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tamsen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliental,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gemini,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
philanthropic,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
lincoln,0,1,0,4,1,1,0,5,5,0,0,2,0,0,2,1,3,2,0,5,1,0,1,2
acknowledgement,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
anns,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
bespoke,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chains,0,1,1,0,0,2,0,1,0,0,2,1,0,1,0,0,2,2,0,1,1,0,0,1
amethyst,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bethesda,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
donated,0,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,2,0,0
auctions,0,1,0,3,0,2,0,0,0,0,3,1,0,0,0,0,7,0,0,0,4,0,1,0
gala,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,2,0
sawing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
soldering,0,2,1,0,2,0,1,0,0,0,2,2,0,0,2,0,0,16,0,4,0,0,0,14
annealing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forging,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
bezel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
